chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.7,4.4,3.2,2.7,3.4,이만우 교수님,고급회계,2019-1학기,전공선택
4.6,2.7,3.3,2.9,2.6,김희천 교수님,조직디자인과경쟁우위(영강),2019-1학기,전공선택
3.6,4.2,3.3,3.3,4.2,신호정 교수님,전략적수요및수익관리(영강),2019-1학기,전공선택
3.8,2.9,4.1,3.8,4,김중혁 교수님,기업재무(영강),2019-1학기,전공선택
1.4,3.8,3.2,3.3,4.2,황준호 교수님,기업재무(영강),2019-1학기,전공선택
3.8,3.5,3.8,3.3,4.8,박진관 교수님,기업재무(영강),2019-1학기,전공선택
4.9,3.6,3,3.3,3.9,나현승 교수님,기업재무(영강),2019-1학기,전공선택
4.3,4.4,2.7,2.7,3.5,류두원 교수님,기업재무(영강),2019-1학기,전공선택
3,4,3,3.5,3,KimDan Jong 교수님,정보보안관리(영강),2019-1학기,전공선택
3.8,3.4,3.5,3.9,4,김동철 교수님,선물옵션(영강),2019-1학기,전공선택
1.2,3.2,4.5,4.2,4.2,김배호 교수님,선물옵션(영강),2019-1학기,전공선택
2.1,2.7,3.6,3,4.1,김재환 교수님,마케팅엔지니어링(영강),2019-1학기,전공선택
5,3.7,4,4.2,4.5,김재환 교수님,현대기아차글로벌마케팅전략,2019-1학기,전공선택
4.9,3.5,3.7,3.9,3.9,이재혁 교수님,경영전략,2019-1학기,전공필수
4,2.8,3.3,3.3,4,김언수 교수님,경영전략(영강),2019-1학기,전공필수
4.8,3.8,3.4,3.9,3.8,문정빈 교수님,경영전략(영강),2019-1학기,전공필수
3.5,3.4,2.8,2.8,3.6,이준만 교수님,경영전략(영강),2019-1학기,전공필수
4.9,3.9,3.4,3.6,3.7,김봉선 교수님,경영전략(영강),2019-1학기,전공필수
4.6,4,2.8,2.8,2.3,이종호 교수님,마케팅과혁신(영강),2019-1학기,전공선택
2.3,4.3,2.2,3.2,2.5,홍세준 교수님,IT혁신관리:이슈와트렌드(영강),2019-1학기,전공선택
1.9,4.1,3.7,4.1,4.9,김우찬 교수님,기업지배구조의이론과실제(영강),2019-1학기,전공선택
4.5,3.8,3.4,3.3,3.9,이동욱 교수님,채권론(영강),2019-1학기,전공선택
2.6,4,2.6,1.8,1.7,김창기 교수님,위험관리(영강),2019-1학기,전공선택
4.5,3.7,3.9,3.9,4.4,김동철 교수님,고급투자론(영강),2019-1학기,전공선택
4.3,4,3,3.7,3.7,이동섭 교수님,리더쉽:이론과실제(영강),2019-1학기,전공선택
4.7,4.3,2.1,2.3,2.7,김영규 교수님,소셜네트워크와경쟁우위(영강),2019-1학기,전공선택
5,3.3,4,3.3,3.3,배종석 교수님,경영의철학적이해,2019-1학기,전공선택
1.5,3.1,3.8,3.6,3.5,김대기 교수님,로지스틱스관리,2019-1학기,전공선택
2.8,3.9,4.3,3.9,3.5,서용무 교수님,데이터관리와지적경영,2019-1학기,전공선택
4.9,3.7,2.9,3.2,3.3,Tony C. Garrett 교수님,제품및브랜드관리(영강),2019-1학기,전공선택
5,4,5,2.5,5,진영호 교수님,국내경영현장실습Ⅰ,2019-1학기,전공선택
5,4,4.5,2.5,5,진영호 교수님,국내경영현장실습Ⅱ,2019-1학기,전공선택
5,3,5,4,5,진영호 교수님,국내경영현장실습Ⅲ,2019-1학기,전공선택
4.4,4,2.3,2.2,2.7,이두희 교수님,인터넷마케팅,2019-1학기,전공선택
4.9,2.7,1.9,2,2.9,김재욱 교수님,글로벌CEO특강,2019-1학기,전공선택
3.1,4.5,1.5,2.3,2.6,허연숙 교수님,창의설계(영강) (건축사회환경공학부),2019-1학기,전공선택
3.5,4.7,1.7,1.4,3,이재승 교수님,창의설계,2019-1학기,전공선택
2.5,3,3,1.8,2,이인환 교수님,창의설계 (신소재공학부) / 신공학관 B112호,2019-1학기,전공선택
3.3,5,4,2.8,4,서지훈 교수님,창의설계(영강) (신소재공학부),2019-1학기,전공선택
3.5,4,2.6,2.6,3,정태수 교수님,데이터과학기초(영강),2019-1학기,전공선택
4.5,3.1,3.1,2.4,2.3,송광호 교수님,기술과창업,2019-1학기,전공선택
3.4,3.6,3.5,3.6,4.1,정재원 교수님,열역학I(영강),2019-1학기,전공필수
4.4,2.5,3.3,2.8,3.8,윤석구 교수님,열역학I(영강),2019-1학기,전공필수
2.5,4.2,2.8,3,3.6,심준형 교수님,열역학I(영강),2019-1학기,전공필수
4.8,3.3,3.3,3.8,3.3,채수원 교수님,고체역학I,2019-1학기,전공필수
1.4,3.8,3.3,3.5,4.1,송용남 교수님,고체역학I(영강),2019-1학기,전공필수
4.8,3.3,3,4.3,2.4,최우천 교수님,기계제작법및실습,2019-1학기,전공필수
4.8,3.9,2.9,2.6,3.7,심재경 교수님,전산기이용기계제도,2019-1학기,전공필수
4.4,3.9,2.3,2.9,4.1,최병호 교수님,전산기이용기계제도(영강),2019-1학기,전공필수
1.6,3.9,3.3,3.3,4,심재경 교수님,기구학,2019-1학기,전공필수
1.5,4.5,3.1,3.2,4.1,정석 교수님,공업수학I(영강),2019-1학기,전공선택
2.6,4.2,2.8,3.2,4.2,임성균 교수님,공업수학I(영강),2019-1학기,전공선택
2.2,4.2,2.4,2.5,3.1,나성수 교수님,동역학(영강),2019-1학기,전공필수
2.4,3.2,4.3,4.6,3.7,김권희 교수님,창의적기계설계:캡스톤디자인,2019-1학기,전공필수
3.6,2.9,4.3,4.4,3.6,임성균 교수님,창의적기계설계:캡스톤디자인(영강),2019-1학기,전공필수
4.9,3.1,4.5,4.6,4.1,강용태 교수님,열전달(영강),2019-1학기,전공선택
1.2,3.2,4.7,4.5,4.2,권오명 교수님,열전달,2019-1학기,전공선택
1.2,3.8,2.9,3.2,3.5,최병호 교수님,공학재료학(영강),2019-1학기,전공필수
3.8,3.9,2.7,3.9,3.5,한창수 교수님,공학재료학(영강),2019-1학기,전공필수
3.3,3.3,4.3,2.7,3,문영준 교수님,유체역학II,2019-1학기,전공선택
5,3.2,3.5,3.6,3.3,송용남 교수님,기계공학실험I(영강),2019-1학기,전공필수
5,3.1,3.1,2.9,2.8,최병호 교수님,기계공학실험I,2019-1학기,전공필수
5,2.8,3.4,2.8,2.8,나성수 교수님,기계공학실험I(영강),2019-1학기,전공필수
1.2,3,3.5,3.4,3.6,권오명 교수님,초소형기전공학,2019-1학기,전공선택
1,3.6,4.1,4,3.3,장동수 교수님,공기조화,2019-1학기,전공선택
4.5,4.1,3.2,3.6,3.8,이호성 교수님,에너지공학(영강),2019-1학기,전공선택
1,3.7,2.7,3.1,3.9,박심수 교수님,내연기관,2019-1학기,전공선택
4.9,3,3.5,3.8,3.5,신세현 교수님,생체공학(영강),2019-1학기,전공선택
2.2,2.9,3.1,3.4,3.6,송재복 교수님,메카트로닉스,2019-1학기,전공선택
1.1,3.9,2.4,2.2,3.3,정우진 교수님,마이크로프로세서프로그래밍(영강),2019-1학기,전공선택
1.8,3.9,3.3,3.7,3.4,장민호 교수님,종합설계(영강),2019-1학기,전공선택
1.5,4,3.8,3.2,3.8,정석 교수님,종합설계(영강),2019-1학기,전공선택
2.1,3.2,3.8,3.4,3.8,박신석 교수님,로봇공학(영강),2019-1학기,전공선택
3.8,4.5,2.9,2.9,3.9,신재은 교수님,일반회계및원가계산,2019-1학기,전공선택
3.3,4.5,2.8,3.2,4,신재은 교수님,일반회계및원가계산,2019-1학기,전공선택
3.7,3.6,2.5,2.8,2.9,한성원 교수님,수리통계및실습(영강) 산업경영공학부 대상,2019-1학기,전공필수
1.3,4.3,2.6,2.4,4,정태수 교수님,경영공학개론(영강) 산업경영공학부 대상,2019-1학기,전공필수
3.5,3.7,3.5,3.5,3.3,정의승 교수님,휴먼인터페이스,2019-1학기,전공선택
1.6,3.6,1.8,2.2,3,오형석 교수님,객체지향프로그래밍및실습,2019-1학기,전공선택
4.7,3.4,4,4.1,4.1,최회련 교수님,객체지향프로그래밍및실습,2019-1학기,전공선택
2,2.7,3.3,4.4,2.7,명노해 교수님,인간공학,2019-1학기,전공필수
1.7,3.5,3.9,3.6,3.9,류홍서 교수님,OR-Ⅱ 및 실습,2019-1학기,전공필수
2,3.1,3.8,4.3,4,백준걸 교수님,데이터마이닝,2019-1학기,전공선택
3.3,2.4,3.4,3.6,1.9,서윤호 교수님,생산계획,2019-1학기,전공필수
2.1,3.1,3.3,3.2,3.5,이홍철 교수님,정보시스템설계,2019-1학기,전공필수
1.2,3.1,4.1,3.9,3.7,전영민 교수님,최적화이론,2019-1학기,전공선택
4.7,4,2,2,2.7,장동식 교수님,시스템공학특론-Ⅰ,2019-1학기,전공선택
4.7,4.7,3.3,3,4,조성원 교수님,물류시스템설계,2019-1학기,전공선택
4.8,4.1,3.3,4.2,4.9,강필성 교수님,다변량분석(영강) 산업경영공학부 대상,2019-1학기,전공선택
3.9,4.1,3.4,3.8,4.4,김성범 교수님,예측애널리틱스,2019-1학기,전공선택
4.6,3.4,1.3,2,2.9,박종선 교수님,시스템분석,2019-1학기,전공선택
3.4,3.8,3.6,3.9,3.8,김웅 교수님,물리화학I(영강),2019-1학기,전공필수
4.5,3.3,3.3,3.7,3.4,강윤찬 교수님,물리화학I,2019-1학기,전공필수
4,4.1,2.3,1.5,2.6,이인환 교수님,물리화학I(영강) 재수강생만 수강가능,2019-1학기,전공필수
1,4.4,4,3.1,4,이경진 교수님,재료수치해석 컴퓨터언어및실습 대체강의 가능,2019-1학기,전공선택
4.8,3.3,3.6,3.8,4.3,서지훈 교수님,재료구조물성(영강),2019-1학기,전공필수
4.7,2.8,3.9,3.9,4.1,장호 교수님,재료구조물성,2019-1학기,전공필수
4.8,3.3,3.3,3.3,4.3,성윤모 교수님,재료구조물성(영강) 재수강생만 수강가능,2019-1학기,전공필수
1.5,3.6,2.8,3.3,3.5,남산 교수님,공업수학I,2019-1학기,전공필수
4.3,3.3,3,2.8,3.1,이재철 교수님,공업수학I,2019-1학기,전공필수
4.9,2.3,2.5,2.7,2.8,임대순 교수님,세라믹재료개론,2019-1학기,전공선택
1,3.4,2.4,2,2.5,이헌 교수님,반응속도론,2019-1학기,전공선택
3.3,3.7,2.8,3.1,3.5,김웅 교수님,에너지환경재료(영강),2019-1학기,전공선택
1.4,3.8,2.7,3,3.7,이재승 교수님,유기재료화학(영강),2019-1학기,전공선택
1.4,4.3,3.8,3.7,3.7,오승주 교수님,X-선결정학(영강),2019-1학기,전공선택
2.2,3.5,3.6,3.4,2.7,남산 교수님,전자및반도체재료공학,2019-1학기,전공필수
4.9,3.4,3.6,3.8,2.1,변동진 교수님,전자및반도체재료공학,2019-1학기,전공필수
3.5,3.5,3.5,2.8,3,남산 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
4,4,3.3,2,1.8,강윤찬 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
3,4,3,1.5,2,김웅 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
4.7,4,4.3,4.3,3.7,서지훈 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
3,3.5,1.5,2,1.5,이준호 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
3,3,1,1,3,김동환 교수님,재료공학실험I 설명회 학과홈페이지 참조,2019-1학기,전공필수
2,2.7,4.4,4.5,3.7,허주열 교수님,재료열역학,2019-1학기,전공필수
2.3,3,4,4,3.2,허주열 교수님,재료열역학,2019-1학기,전공필수
4.7,3.1,4.4,4.8,4.6,성윤모 교수님,나노소재(영강),2019-1학기,전공선택
4.8,4.6,2.9,3,3.7,손석수 교수님,금속가공학(영강),2019-1학기,전공선택
4.7,2.3,3.7,4.7,3.9,장호 교수님,금속재료 다음학기 복합재료 선수강과목,2019-1학기,전공선택
4.8,3.9,3.1,3.6,4.3,성태연 교수님,광소재및소자(영강),2019-1학기,전공선택
5,4.9,1.3,1.2,3.4,강희민 교수님,신소재공학연구동향 신소재공학부 세미나 수업,2019-1학기,전공필수
