chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
2,2.7,3.7,2,2.7,이호성 교수님,창의설계(영강) (기계공학부),2017-2학기,전공선택
4.9,4.1,2.3,1.9,3,"김승욱,정재원이준호,허준장민호,이기봉김자영,정태수석준희⋯ 교수님","경영자를위한테크놀로지이해 (경영대학, 의과대학)",2017-2학기,전공선택
3.8,4,4.1,2.9,2.8,문영준 교수님,유체역학I(영강),2017-2학기,전공필수
4.4,3.3,3.6,3.5,3.7,신세현 교수님,유체역학I(영강),2017-2학기,전공필수
4.5,3.4,3.4,3.8,3.3,정재원 교수님,유체역학I(영강),2017-2학기,전공필수
4.8,4.3,3.3,3.2,4.4,심재경 교수님,전산기이용기계제도,2017-2학기,전공필수
3.8,3.3,2.7,3,3.9,최병호 교수님,전산기이용기계제도(영강),2017-2학기,전공필수
2.9,4.2,3.4,3.5,3.1,이병양 교수님,공업수학II(영강),2017-2학기,전공선택
2.2,3.8,3.3,3.4,3.9,이호성 교수님,공업수학II(영강),2017-2학기,전공선택
4.7,2.3,3.3,3.5,4.3,윤석구 교수님,열역학II(영강),2017-2학기,전공선택
1.8,3.8,3.6,4.1,3.2,심준형 교수님,열역학II(영강),2017-2학기,전공선택
4.6,3.4,3.5,3.5,3.9,홍대희 교수님,동역학,2017-2학기,전공필수
2.3,4.1,3.4,3.3,3.4,박신석 교수님,동역학(영강),2017-2학기,전공필수
1.4,3.5,3.7,3.2,3.8,최병호 교수님,고체역학Ⅱ(영강),2017-2학기,전공선택
1.2,3.7,3.3,3.6,4.2,송용남 교수님,고체역학Ⅱ(영강),2017-2학기,전공선택
1.1,3.6,4,4.1,4,장민호 교수님,창의적기계설계:캡스톤디자인(영강),2017-2학기,전공필수
1.1,3.3,4.7,4.6,3.9,정석 교수님,창의적기계설계:캡스톤디자인(영강),2017-2학기,전공필수
2.2,4.3,4.2,4,4.6,최원준 교수님,응용열전달(영강),2017-2학기,전공선택
2,3.3,3.5,3.6,4.2,김용찬 교수님,냉동,2017-2학기,전공선택
4,4,4,5,4,정진택 교수님,유체기계,2017-2학기,전공선택
4.6,4.1,4,2.5,3.8,문영준 교수님,유체역학II(영강),2017-2학기,전공선택
1.2,4.1,3.9,4.3,4,송용남 교수님,기계요소설계(영강),2017-2학기,전공선택
5,3,3,4,3,이호성 교수님,기계공학실험II(영강),2017-2학기,전공필수
4.6,3.7,3.3,3.3,3.4,김용찬 교수님,기계공학실험II(영강),2017-2학기,전공필수
5,3.1,3.6,3.5,3.1,심준형 교수님,기계공학실험II(영강),2017-2학기,전공필수
2.3,3.9,3.6,3,3.3,심재경 교수님,전산기응용설계,2017-2학기,전공선택
3.7,3.3,2.7,2.9,3.7,나성수 교수님,기계진동학,2017-2학기,전공선택
4.9,3.4,3.1,3.3,3.8,정우진 교수님,전기전자공학개론(영강),2017-2학기,전공선택
2.8,3.7,3.4,3.3,3,이병양 교수님,전기전자공학개론(영강),2017-2학기,전공선택
2.3,2.9,3.6,3.4,3.9,송재복 교수님,자동제어,2017-2학기,전공선택
4.6,4.3,3.2,3.2,3.5,김윤재 교수님,재료거동학(영강),2017-2학기,전공선택
3.5,4,4,4,3,김권희 교수님,통합설계,2017-2학기,전공선택
4.3,3.4,2.2,3.1,3.2,최우천 교수님,생산공학,2017-2학기,전공선택
1,2.8,4.5,3.9,3.9,권오명 교수님,나노공학입문,2017-2학기,전공선택
1,3.5,2,2,4.5,명차리 교수님,자동차공학,2017-2학기,전공선택
1.5,4.9,2.3,2.8,3.8,나성수 교수님,학부논문연구,2017-2학기,전공선택
1.7,3.5,3.3,3.5,3.6,이홍철 교수님,산업공학개론,2017-2학기,전공선택
1.9,4.4,3.1,3.3,4.4,강필성 교수님,데이터분석을위한프로그래밍언어(영강) 신공학관224호,2017-2학기,전공선택
3.9,4.6,3.2,3.2,4.5,심준용 교수님,일반회계및원가계산,2017-2학기,전공선택
3.7,4.7,2.8,2.9,4.6,심준용 교수님,일반회계및원가계산,2017-2학기,전공선택
2.9,3.9,3.3,3.1,3,김기현 교수님,자료구조및알고리즘,2017-2학기,전공선택
1.8,2.4,4,4.6,3.5,명노해 교수님,응용통계및실습,2017-2학기,전공필수
1.9,3.6,2.6,2.4,3,오형석 교수님,응용통계및실습,2017-2학기,전공필수
4,2.3,3.9,4,3.3,최인찬 교수님,OR-Ⅰ및 실습,2017-2학기,전공필수
4.8,3.2,3.7,3.3,3.8,임현우 교수님,OR-Ⅰ및 실습,2017-2학기,전공필수
1.6,3.2,3.7,3.5,4,김기택 교수님,공학수학,2017-2학기,전공선택
2.2,4.3,2.6,2.7,3.9,정태수 교수님,공급사슬경영(영강),2017-2학기,전공선택
2.8,3.5,4.2,4.2,4.8,백준걸 교수님,시뮬레이션및실습,2017-2학기,전공선택
3.7,3.2,4,3,3.2,서윤호 교수님,생산통제,2017-2학기,전공선택
4,2.7,3,3.1,3.2,한성원 교수님,실험계획법(영강),2017-2학기,전공선택
4.2,3.7,2.7,2.9,3.9,김성범 교수님,품질공학,2017-2학기,전공필수
4.3,4.5,2.5,2.8,2.6,박재규 교수님,제품개발,2017-2학기,전공필수
4.5,3.8,2.3,1.8,2.5,장동식 교수님,영상정보시스템,2017-2학기,전공선택
4.8,3.5,1.6,2.2,2.8,박종선 교수님,서비스공학,2017-2학기,전공선택
1,4,3,3,4,한성원 교수님,캡스톤디자인Ⅱ,2017-2학기,전공선택
3,3.8,3.6,3.7,3.9,김웅 교수님,물리화학II(영강),2017-2학기,전공필수
4.5,4.1,4.6,4.4,3.9,오승주 교수님,물리화학II(영강),2017-2학기,전공필수
4.9,2.6,3.6,3.7,3.8,서지훈 교수님,재료전자기물성(영강),2017-2학기,전공필수
1,4.8,2.4,2,2.4,이인환 교수님,재료전자기물성(영강) 강의실은 학과홈페이지 참조,2017-2학기,전공필수
1.7,4.5,2.3,2.8,4.7,이재승 교수님,재료전자기물성(영강) 재수강생만 수강가능/강의실은 학과홈페이지 참조,2017-2학기,전공필수
4.7,2.8,2.8,3,3.1,이재철 교수님,공업수학II(영강),2017-2학기,전공선택
4,1.8,2.4,2.4,2.4,이재철 교수님,공업수학II(영강),2017-2학기,전공선택
3,3.4,3.3,3.4,3,윤호규 교수님,유기재료개론 학년제한없음-전학년 수강가능,2017-2학기,전공선택
4.5,2.1,3.9,4.5,3.4,성윤모 교수님,바이오재료개론(영강),2017-2학기,전공선택
