chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
2.6,3.3,4.5,4.6,4.0,김권희 교수님,창의적기계설계:캡스톤디자인,2018-1학기,전공필수
4.2,2.4,3.6,4.8,3.6,이병양 교수님,창의적기계설계:캡스톤디자인(영강),2018-1학기,전공필수
4.9,3.7,4.3,4.3,4.5,강용태 교수님,열전달(영강),2018-1학기,전공선택
1.1,3.1,4.3,4.3,4.0,권오명 교수님,열전달,2018-1학기,전공선택
1.3,3.5,3.2,3.5,3.6,최병호 교수님,공학재료학(영강),2018-1학기,전공필수
3.2,3.7,3.0,3.6,3.4,이병양 교수님,공학재료학(영강),2018-1학기,전공필수
4.3,3.1,3.9,2.8,3.2,문영준 교수님,유체역학II(영강),2018-1학기,전공선택
4.9,3.1,2.9,3.1,2.7,송용남 교수님,기계공학실험I(영강),2018-1학기,전공필수
4.3,2.5,2.6,2.6,2.2,나성수 교수님,기계공학실험I(영강),2018-1학기,전공필수
4.5,2.5,3.5,3.3,2.3,최병호 교수님,기계공학실험I(영강),2018-1학기,전공필수
2.9,2.6,2.2,2.3,3.2,나성수 교수님,기계진동학,2018-1학기,전공선택
1.0,3.1,3.6,3.1,3.9,권오명 교수님,초소형기전공학,2018-1학기,전공선택
2.4,3.1,3.6,3.6,2.1,정현준 교수님,공기조화,2018-1학기,전공선택
1.7,3.6,3.0,3.5,3.6,이호성 교수님,에너지공학(영강),2018-1학기,전공선택
1.4,2.2,3.1,3.6,3.1,박심수 교수님,내연기관,2018-1학기,전공선택
4.9,3.5,3.2,3.5,4.0,신세현 교수님,생체공학(영강),2018-1학기,전공선택
2.6,3.1,2.9,3.1,3.6,송재복 교수님,메카트로닉스,2018-1학기,전공선택
1.7,3.8,4.1,4.4,4.0,송용남 교수님,통합설계(영강),2018-1학기,전공선택
2.1,3.7,3.8,3.5,3.9,장민호 교수님,통합설계(영강),2018-1학기,전공선택
2.3,3.6,3.0,3.4,3.4,최원준 교수님,수치해석(영강),2018-1학기,전공선택
1.2,3.9,2.6,2.4,3.0,정우진 교수님,마이크로프로세서프로그래밍(영강),2018-1학기,전공선택
4.5,4.3,2.8,3.5,4.0,심준용 교수님,일반회계및원가계산,2018-1학기,전공선택
3.6,4.2,2.8,3.6,4.6,심준용 교수님,일반회계및원가계산,2018-1학기,전공선택
3.3,3.5,2.6,2.8,3.1,한성원 교수님,수리통계및실습(영강),2018-1학기,전공필수
4.0,3.9,3.2,3.5,3.9,김성범 교수님,수리통계및실습,2018-1학기,전공필수
1.8,4.6,2.4,2.7,4.2,정태수 교수님,경영공학개론(영강),2018-1학기,전공필수
4.5,4.9,2.3,2.0,2.5,반기민 교수님,휴먼인터페이스,2018-1학기,전공선택
1.0,4.8,3.5,3.1,3.1,김기현 교수님,객체지향프로그래밍및실습,2018-1학기,전공선택
4.9,4.2,4.1,3.8,3.4,안민정 교수님,객체지향프로그래밍및실습,2018-1학기,전공선택
4.3,4.6,3.3,3.9,3.3,강정윤 교수님,생산시스템공학및실험,2018-1학기,전공선택
