chulseok,grade,difficulty,load,achievement,proff,className,sem,classtype
4.5,5,4.5,3,4.5,이병찬 교수님,야외활동Ⅱ,2017-2학기,전공선택
5,1,3,3,1,김형수 교수님,운동역학 체육특기자 외 수강금지,2017-2학기,전공필수
5,5,4,4,4,"김현철,정순영박성빈,서태원임희석 교수님",정보·컴퓨터교과논리및논술,2017-2학기,전공필수
5,4.5,2,2,5,안지만 교수님,텍스타일디자인,2017-2학기,전공선택
2.6,4.6,3.6,4,4,이혜원 교수님,패션포트폴리오제작및현장연구,2017-2학기,전공선택
2,3.7,3,2.7,4.7,김진수 교수님,실험계획의원리와응용,2017-2학기,전공선택
1.4,3.1,3.3,4.3,3.5,황광연 교수님,영양생리학,2017-2학기,전공선택
4.3,3.2,3.7,4.6,2.7,김슬기 교수님,해부조직학,2017-2학기,전공선택
4.9,3.8,2.9,3,3.6,김종윤 교수님,식물번식공학(영강),2017-2학기,전공선택
2.7,3.6,3.7,3.7,3.7,지영민 교수님,유기화학Ⅱ,2017-2학기,전공선택
1,3.3,4.8,4.3,3,최용석 교수님,유기화학Ⅱ(영강),2017-2학기,전공선택
2.9,3.8,3.8,4,3.3,이동호 교수님,유기화학Ⅱ(영강),2017-2학기,전공선택
4.5,3.8,3,4,4.3,권진선 교수님,유기화학Ⅱ,2017-2학기,전공선택
1.8,4.2,2.5,2.8,3.3,지영민 교수님,효소학,2017-2학기,전공선택
5,2.9,4.1,3.9,4.6,민병남 교수님,미생물생리학,2017-2학기,전공선택
4,3.6,2.2,2.4,3.6,최인걸 교수님,미생물학실험,2017-2학기,전공선택
3,3.4,3.9,4,4.6,전태훈 교수님,질병미생물학(영강),2017-2학기,전공선택
4.3,3.9,3.7,3.9,4.9,유승권 교수님,유전자공학및실험,2017-2학기,전공선택
1.6,3.3,2.6,3.2,3.5,홍기창 교수님,동물분자육종학,2017-2학기,전공선택
3,2.9,3.3,3.1,3.1,김진수 교수님,보전유전학,2017-2학기,전공선택
5,4.3,2.1,1.9,3.3,박성옥 교수님,채소및허브학,2017-2학기,전공선택
1.3,4.5,3.8,3,4.5,이동호 교수님,기기분석학및실험(영강),2017-2학기,전공선택
4.4,3.5,3.3,3.6,3.8,김기덕 교수님,식물병제어학,2017-2학기,전공선택
4.8,4,2.8,2.8,3.4,이일석 교수님,미생물생명공학Ⅱ및실험,2017-2학기,전공선택
2.5,3.3,3.3,3.5,4.1,송문정 교수님,분자바이러스생명공학,2017-2학기,전공선택
1.5,4,3.2,3.6,3.9,고용 교수님,내분비학(영강),2017-2학기,전공선택
5,3.3,3.4,3.8,4.3,정우영 교수님,생식의학,2017-2학기,전공선택
5,3.3,3.3,3,3.8,김종훈 교수님,줄기세포공학,2017-2학기,전공선택
5,4,3.7,3.3,3.2,이철구 교수님,생명정보공학(영강),2017-2학기,전공선택
1.2,3.5,3.9,4.4,4.1,이영식 교수님,리보핵산공학(영강),2017-2학기,전공선택
2.1,2.6,2.8,2.6,2,홍경낙 교수님,임목분자육종학,2017-2학기,전공선택
5,4.2,3.6,3.3,3.7,박성효 교수님,독성생화학,2017-2학기,전공선택
4.3,4.8,2.8,2.4,3.3,한성옥 교수님,바이오매스및바이오에너지공학,2017-2학기,전공선택
1.3,3.1,2.5,2.1,1.5,김욱 교수님,식물유전자원공학(영강),2017-2학기,전공선택
2.4,2.8,4.2,4.4,4.3,김형기 교수님,세포생물학Ⅱ,2017-2학기,학부공통
3.7,3.4,3.8,4.3,3.8,송문정 교수님,세포생물학Ⅱ(영강),2017-2학기,학부공통
4.9,3.3,2.4,2.9,4.2,송권화 교수님,세포생물학Ⅱ(영강),2017-2학기,학부공통
1.4,2.7,3,3.2,4.2,최의주 교수님,세포생물학Ⅱ,2017-2학기,학부공통
2.1,3.5,3.4,3.7,3.8,김옥매 교수님,세포생물학Ⅱ(영강) (수업시간: 12:00~13:15),2017-2학기,학부공통
2.9,3.8,3.1,4,3.2,윤철원 교수님,미생물학Ⅱ,2017-2학기,학부공통
3.5,3.8,2.4,2.2,2.4,윤원석 교수님,미생물학Ⅱ (수업시간: 12:00~13:15),2017-2학기,학부공통
2.4,4.1,3.1,3.9,3.2,최인걸 교수님,미생물학Ⅱ,2017-2학기,학부공통
1.7,3,3.3,3.8,3.8,"백경희,안병윤 교수님",분자생물학Ⅱ,2017-2학기,학부공통
1.5,3.8,4,4.2,4.4,김윤기 교수님,분자생물학Ⅱ(영강),2017-2학기,학부공통
3.7,3.9,3.6,4,3.8,김대성 교수님,분자생물학Ⅱ(영강),2017-2학기,학부공통
1.1,3.8,3.3,3.6,3.7,"지성길,홍정호 교수님",유전학Ⅱ(영강),2017-2학기,학부공통
3,3.6,3.7,3.7,3.6,"백자현,윤봉준 교수님",유전학Ⅱ(영강),2017-2학기,학부공통
1.4,3.6,2.1,2,1.8,김욱 교수님,유전학Ⅱ(영강),2017-2학기,학부공통
2.9,3.5,3.8,4,3.3,"김준,우재성 교수님",생화학Ⅱ(영강) (수업시간: 12:00~13:15),2017-2학기,학부공통
3.7,3.1,4.4,4.9,3.4,"구승회,최무현 교수님",생화학Ⅱ,2017-2학기,학부공통
1.5,2.8,3.8,3.8,4,"황광연,이영식 교수님",생화학Ⅱ,2017-2학기,학부공통
1.3,3.8,3.5,4.1,4,이병천 교수님,생화학Ⅱ(영강),2017-2학기,학부공통
5,2.5,1,2,2,윤철원 교수님,생명과학실험I(미생물학),2017-2학기,전공필수
4.7,3.3,3,3.3,3.3,박용성 교수님,생명과학실험I(미생물학),2017-2학기,전공필수
4.3,3.3,3,3.3,2.7,홍정호 교수님,생명과학실험III(세포분자생물학),2017-2학기,전공필수
4.8,3.3,4,3.4,3.4,금현덕 교수님,생명과학과법,2017-2학기,전공선택
5,4,3,2.5,3.5,최상윤 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
5,2,1,3,2,백자현 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
3.8,4.2,2.2,2.8,4,최무현 교수님,생명과학실험Ⅳ(생화학),2017-2학기,전공필수
2.3,2.9,2.9,3.6,3.2,"신정섭,백경희 교수님",식물분자생물학,2017-2학기,전공선택
4.3,4.3,2.6,2.2,2.4,김찬화 교수님,생물물리화학II,2017-2학기,전공선택
2,4,2.7,3.3,3.3,안지훈 교수님,생리학Ⅱ(영강),2017-2학기,전공선택
4.8,3.2,3.5,4.2,3.5,구승회 교수님,인체대사학,2017-2학기,전공선택
2.6,3.5,4.5,4.7,4,"윤봉준,백자현 교수님",시스템신경과학(영강),2017-2학기,전공선택
4.3,2.9,3.6,4,3.9,김태성 교수님,면역학II,2017-2학기,전공선택
2.6,3.6,2.8,2.8,2.6,안지훈 교수님,연구논문지도II,2017-2학기,전공필수
1.9,3.4,3.1,3.3,3.6,김기중 교수님,진화생물학,2017-2학기,전공선택
4.4,4.1,3.7,3.2,3.2,지성욱 교수님,생물정보학(영강) (수업시간: 17:00~18:15),2017-2학기,전공선택
1.2,3.4,3.5,3.7,4.4,안병윤 교수님,바이러스학,2017-2학기,전공선택
1.5,3.1,2.7,2.9,3.3,"최상윤,최의주 교수님",생물안전성학,2017-2학기,전공선택
1,4.1,3.6,3.7,4.3,김충호 교수님,세포신호전달학(영강) (수업시간: 17:00~18:15),2017-2학기,전공선택
1,4,2.8,2.6,4.4,김재홍 교수님,염증생물학,2017-2학기,전공선택
1.5,3.5,4.1,4.7,3.4,구만복 교수님,분석생명과학 (수업시간: 12:00~13:15),2017-2학기,전공선택
3.3,3.9,4.6,3.9,3.8,권정환 교수님,환경화학(영강),2017-2학기,전공선택
