,ProfessorName,className
321,주성관 교수님,전력경제
322,김철우 교수님,아날로그집적회로
323,박종선 교수님,VLSI설계및실험(영강)
324,김창수 교수님,컴퓨터비젼
325,박영우 교수님,반도체프로세스
326,유지윤 교수님,전력전자공학
327,고성제 교수님,디지털영상처리
328,유철상 교수님,건축사회환경공학의미래 (신입생(17학번)만 수강가능)
329,강경인 교수님,건축시스템의이해
330,박희등 교수님,환경화학(영강)
331,이종섭 교수님,공업수학I(영강)
332,이재상 교수님,공업수학I(영강)
333,노준홍 교수님,공업수학I(영강)
334,유철상 교수님,유체역학및실험
335,손상영 교수님,유체역학및실험(영강)
336,공정식 교수님,구조역학I(영강)
337,한상윤 교수님,재료역학실험
338,지광습 교수님,"재료역학(영강) (available only to civil, environmental and architectural engineering students)"
339,이종구 교수님,건설재료및실험(영강)
340,주영규 교수님,초고층공학(영강) (75분 수업)
341,강승모 교수님,측량학및실습(영강)
342,김정홍 교수님,제도및BIM기초설계
343,박성모 교수님,제도및BIM기초설계 (4학년 수강불가)
344,최항석 교수님,토질공학 (강의실변경:신공학관B101)
345,윤영수 교수님,철근콘크리트구조설계I
346,주영규 교수님,강구조설계I (월:12시35분 시작)
347,한상윤 교수님,강구조설계I
348,최항 교수님,구조역학II
349,최항석 교수님,수치해석(영강) (창의관101:전산실)
350,홍승관 교수님,환경공학Ⅱ(영강)
351,백경록 교수님,수문학(영강)
352,조훈희 교수님,건축시공(영강)
353,임현수 교수님,건축시공
354,홍택 교수님,건축설계II
355,박창희 교수님,건축설계II
356,정동휘 교수님,도시급배수망전산설계 (제1실험관204:전산실)
357,이학은 교수님,전산구조해석입문 (창의관101:전산실)
358,유위성 교수님,공정관리
359,임종권 교수님,가치공학
360,"공정식,최항석주영규,박희등 교수님",건설종합설계I (사회인프라 전공)
361,"강경인,이종구조훈희,강승모 교수님",건설종합설계I (건설시스템경영및관리 전공)
362,김지상 교수님,건축구조설계론
363,김창원 교수님,유지관리론
364,손상혁 교수님,사업비관리
365,노준홍 교수님,태양광시스템설계(영강)
366,강경연 교수님,건축과도시의이해
367,"김자영,명재범 교수님",건축설계Ⅰ(영강) (강의실:제2공학관 548)
368,"이은정,서민범 교수님",건축설계Ⅰ(영강) (강의실:제2공학관 525)
369,"Fabio Dacarro,최윤희 교수님",건축설계Ⅰ(영강) (강의실:제2공학관 534)
370,"Santiago-Porras Alvarez,남지원 교수님",건축설계Ⅰ(영강) (강의실:제2공학관 531A)
371,"맹희재,양미란 교수님",건축설계Ⅰ(영강) (강의실:제2공학관 532)
372,이명도 교수님,구조의이해
373,김현섭 교수님,서양건축사(영강)
374,박은주 교수님,기초설계(영강) (501~515)
375,박창현 교수님,기초설계 (516~끝번)
376,임경희 교수님,기초설계 (516~끝번)
377,심재명 교수님,기초설계 (516~끝번)
378,김언용 교수님,디지털스튜디오
379,김유진 교수님,디지털스튜디오(영강)
380,음성우 교수님,건축구조계획
381,김세용 교수님,도시계획및설계
382,김동현 교수님,도시계획및설계
383,이명도 교수님,건축시공학
384,김강수 교수님,건축환경계획I
385,김성식 교수님,건축환경계획I
386,"이은정,이해원 교수님",건축설계Ⅲ(캡스톤디자인)(영강) (강의실:제2공학관 525)
387,"고광석,홍태선 교수님",건축설계Ⅲ(캡스톤디자인) (강의실:제2공학관 551)
388,"Fabio Dacarro,송률 교수님",건축설계Ⅲ(캡스톤디자인)(영강) (강의실:제2공학관 547B)
389,"안상현,곽희정 교수님",건축설계Ⅲ(캡스톤디자인) (강의실:제2공학관 545)
390,박정은 교수님,건축과행태
391,박소연 교수님,건축과행태
392,김현섭 교수님,현대건축사
393,김세진 교수님,구조디자인(영강)
394,"여영호,홍근표 교수님",건축설계Ⅴ(캡스톤디자인) (강의실:제2공학관 535)
395,"박소영,이종걸 교수님",건축설계Ⅴ(캡스톤디자인)(영강) (강의실:제2공학관 538B)
396,"Fabio Dacarro,이재우 교수님",건축설계Ⅴ(캡스톤디자인)(영강) (강의실:제2공학관 538A)
397,손상혁 교수님,도시개발
398,Santiago-Porras Alvarez 교수님,빌딩시스템(영강)
399,홍근표 교수님,건축설계실무
400,Daniel Oh 교수님,건축마케팅(영강)
401,"여영호,이민화 교수님",건축설계Ⅶ(캡스톤디자인) (강의실:제2공학관 537)
402,"Santiago-Porras Alvarez,이관직 교수님",건축설계Ⅶ(캡스톤디자인)(영강) (강의실:제2공학관 531B)
403,"김자영,양웅 교수님",건축설계Ⅶ(캡스톤디자인)(영강) (강의실:제2공학관 536)
404,"홍택,이재우 교수님",건축설계Ⅶ(캡스톤디자인)(영강) (강의실:제2공학관 541)
